id,fullName,link,firstName,lastName,primaryNumber,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,currentTeamid,currentTeamname,currentTeamlink,primaryPositioncode,primaryPositionname,primaryPositiontype,primaryPositionabbreviation
8465009,Zdeno Chara,/api/v1/people/8465009,Zdeno,Chara,33,1977-03-18,43,Trencin,,SVK,SVK,"6' 9""",250,true,false,true,false,L,Y,6,Boston Bruins,/api/v1/teams/6,D,Defenseman,Defenseman,D
8466138,Joe Thornton,/api/v1/people/8466138,Joe,Thornton,19,1979-07-02,40,London,ON,CAN,CAN,"6' 4""",220,true,true,false,false,L,Y,28,San Jose Sharks,/api/v1/teams/28,C,Center,Forward,C
8466139,Patrick Marleau,/api/v1/people/8466139,Patrick,Marleau,12,1979-09-15,40,Aneroid,SK,CAN,CAN,"6' 2""",215,true,false,false,false,L,Y,5,Pittsburgh Penguins,/api/v1/teams/5,C,Center,Forward,C
8467950,Craig Anderson,/api/v1/people/8467950,Craig,Anderson,41,1981-05-21,38,Park Ridge,IL,USA,USA,"6' 2""",186,true,false,false,false,L,Y,9,Ottawa Senators,/api/v1/teams/9,G,Goalie,Goalie,G
8468011,Ryan Miller,/api/v1/people/8468011,Ryan,Miller,30,1980-07-17,39,East Lansing,MI,USA,USA,"6' 2""",170,true,false,false,false,L,Y,24,Anaheim Ducks,/api/v1/teams/24,G,Goalie,Goalie,G
8468493,Ron Hainsey,/api/v1/people/8468493,Ron,Hainsey,81,1981-03-24,38,Bolton,CT,USA,USA,"6' 3""",201,true,true,false,false,L,Y,9,Ottawa Senators,/api/v1/teams/9,D,Defenseman,Defenseman,D
8468508,Justin Williams,/api/v1/people/8468508,Justin,Williams,14,1981-10-04,38,Cobourg,ON,CAN,CAN,"6' 1""",184,true,false,false,false,R,Y,12,Carolina Hurricanes,/api/v1/teams/12,R,Right Wing,Forward,RW
8468674,Deryk Engelland,/api/v1/people/8468674,Deryk,Engelland,5,1982-04-03,37,Edmonton,AB,CAN,CAN,"6' 2""",212,true,false,false,false,R,Y,54,Vegas Golden Knights,/api/v1/teams/54,D,Defenseman,Defenseman,D
8468685,Henrik Lundqvist,/api/v1/people/8468685,Henrik,Lundqvist,30,1982-03-02,38,Are,,SWE,SWE,"6' 1""",182,true,false,false,false,L,Y,3,New York Rangers,/api/v1/teams/3,G,Goalie,Goalie,G
8469454,Ilya Kovalchuk,/api/v1/people/8469454,Ilya,Kovalchuk,17,1983-04-15,36,Tver,,RUS,RUS,"6' 3""",222,true,false,false,false,R,Y,15,Washington Capitals,/api/v1/teams/15,L,Left Wing,Forward,LW
