gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,teamid,teamname,teamlink,season
82,38,36,8,84,51,2,2,1,20,51,45,256,83,24,29,1,0,1,1,0,1,4701,2183,2518,46,9,1,1,New Jersey Devils,/api/v1/teams/1,20152016
82,28,40,14,70,43,2,3,1,18,44,53,251,80,28,31,0,0,0,1,0,0,4920,2422,2498,49,8,1,1,New Jersey Devils,/api/v1/teams/1,20162017
82,44,29,9,97,59,3,3,1,21,54,47,252,82,32,32,1,0,1,1,0,1,5046,2371,2675,47,9,1,1,New Jersey Devils,/api/v1/teams/1,20172018
82,31,41,10,72,44,3,3,1,18,45,40,254,84,30,32,1,0,1,1,0,0,4900,2418,2482,49,9,1,1,New Jersey Devils,/api/v1/teams/1,20182019
69,28,29,12,68,49,3,3,1,18,42,39,234,82,31,33,0,0,1,1,0,0,3990,1869,2121,47,9,1,1,New Jersey Devils,/api/v1/teams/1,20192020
82,45,27,10,100,61,3,3,1,18,42,36,229,85,29,30,1,0,1,1,1,0,4654,2331,2323,50,9,1,2,New York Islanders,/api/v1/teams/2,20152016
82,41,29,12,94,57,3,3,1,15,35,41,234,82,30,32,1,0,1,1,1,0,4741,2261,2480,48,10,1,2,New York Islanders,/api/v1/teams/2,20162017
82,35,37,10,80,49,3,4,1,23,58,63,250,73,31,36,1,0,1,1,0,0,4919,2404,2515,49,10,1,2,New York Islanders,/api/v1/teams/2,20172018
82,48,27,7,103,63,3,2,1,15,33,44,227,80,29,31,1,0,1,1,1,1,4477,2124,2353,47,9,1,2,New York Islanders,/api/v1/teams/2,20182019
68,35,23,10,80,59,3,3,1,17,29,34,168,81,30,31,1,0,1,1,0,1,3617,1803,1814,50,9,1,2,New York Islanders,/api/v1/teams/2,20192020
82,46,27,9,101,62,3,3,1,19,42,53,226,78,28,30,1,0,1,1,1,1,4703,2313,2390,49,10,1,3,New York Rangers,/api/v1/teams/3,20152016
82,48,28,6,102,62,3,3,1,20,47,45,233,80,30,30,1,0,1,1,0,1,4864,2353,2511,48,10,1,3,New York Rangers,/api/v1/teams/3,20162017
82,34,39,9,77,47,3,3,1,21,51,46,241,81,31,35,1,0,1,1,0,0,4838,2384,2454,49,9,1,3,New York Rangers,/api/v1/teams/3,20172018
82,32,36,14,78,48,3,3,1,19,44,58,227,78,29,34,0,0,1,1,0,0,4663,2188,2475,47,9,1,3,New York Rangers,/api/v1/teams/3,20182019
70,37,28,5,79,56,3,3,1,23,52,52,227,77,31,34,1,0,1,1,0,1,3862,1799,2063,47,11,1,3,New York Rangers,/api/v1/teams/3,20192020
82,41,27,14,96,59,3,3,1,19,53,51,280,81,31,31,1,0,1,1,1,0,4961,2530,2431,51,8,1,4,Philadelphia Flyers,/api/v1/teams/4,20152016
82,39,33,10,88,54,3,3,1,20,54,50,277,80,32,28,1,0,1,1,0,1,4857,2539,2318,52,8,1,4,Philadelphia Flyers,/api/v1/teams/4,20162017
82,42,26,14,98,60,3,3,1,21,54,54,261,76,32,30,1,0,1,1,1,1,4812,2563,2249,53,10,1,4,Philadelphia Flyers,/api/v1/teams/4,20172018
82,37,37,8,82,50,3,3,1,17,40,51,234,79,32,33,1,0,1,1,0,1,4818,2637,2181,55,9,1,4,Philadelphia Flyers,/api/v1/teams/4,20182019
69,41,21,7,89,65,3,3,1,21,47,38,226,82,31,29,1,0,1,1,1,1,3954,2159,1795,55,11,1,4,Philadelphia Flyers,/api/v1/teams/4,20192020
82,48,26,8,104,63,3,2,1,18,48,40,261,84,33,30,1,0,1,1,1,1,5169,2593,2576,50,9,1,5,Pittsburgh Penguins,/api/v1/teams/5,20152016
82,50,21,11,111,68,3,3,1,23,60,52,260,80,33,33,1,1,1,1,1,1,5154,2452,2702,48,10,1,5,Pittsburgh Penguins,/api/v1/teams/5,20162017
82,47,29,6,100,61,3,3,1,26,68,53,260,80,34,31,1,0,1,1,1,0,5118,2572,2546,50,10,1,5,Pittsburgh Penguins,/api/v1/teams/5,20172018
82,44,26,12,100,61,3,3,1,25,56,45,228,80,33,33,1,0,1,1,0,1,4908,2482,2426,51,10,1,5,Pittsburgh Penguins,/api/v1/teams/5,20182019
69,40,23,6,86,62,3,3,1,20,42,34,211,82,32,30,1,0,1,1,1,1,3974,1942,2032,49,10,1,5,Pittsburgh Penguins,/api/v1/teams/5,20192020
82,42,31,9,93,57,3,3,1,21,48,48,234,82,32,30,1,0,1,1,0,1,5140,2592,2548,50,9,1,6,Boston Bruins,/api/v1/teams/6,20152016
82,44,31,7,95,58,3,3,1,22,53,38,244,86,33,27,1,0,1,1,1,1,5045,2686,2359,53,9,1,6,Boston Bruins,/api/v1/teams/6,20162017
82,50,20,12,112,68,3,3,1,24,61,40,259,84,33,29,1,0,1,1,1,1,5078,2577,2501,51,10,1,6,Boston Bruins,/api/v1/teams/6,20172018
82,49,24,9,107,65,3,3,1,26,65,49,251,80,33,29,1,0,1,1,1,1,4840,2455,2385,51,10,1,6,Boston Bruins,/api/v1/teams/6,20182019
70,44,14,12,100,71,3,2,1,25,57,34,226,84,32,30,1,1,1,1,1,1,3971,2024,1947,51,10,1,6,Boston Bruins,/api/v1/teams/6,20192020
82,35,36,11,81,49,2,3,1,19,48,38,254,83,29,31,1,0,1,1,0,1,4915,2427,2488,49,8,1,7,Buffalo Sabres,/api/v1/teams/7,20152016
82,33,37,12,78,48,2,3,1,25,57,53,233,78,30,34,1,0,1,1,0,0,4929,2445,2484,50,8,1,7,Buffalo Sabres,/api/v1/teams/7,20162017
82,25,45,12,62,38,2,3,1,19,49,52,257,78,31,33,1,0,1,1,0,0,4927,2539,2388,52,8,1,7,Buffalo Sabres,/api/v1/teams/7,20172018
82,33,39,10,76,46,3,3,1,20,46,41,236,81,33,33,1,0,1,1,0,0,4872,2334,2538,48,8,1,7,Buffalo Sabres,/api/v1/teams/7,20182019
69,30,31,8,68,49,3,3,1,19,37,47,196,75,29,31,1,0,1,1,0,0,3788,1737,2051,46,10,1,7,Buffalo Sabres,/api/v1/teams/7,20192020
82,38,38,6,82,50,3,3,1,16,42,46,259,82,31,29,1,0,1,1,0,1,5207,2621,2586,50,9,1,8,Montréal Canadiens,/api/v1/teams/8,20152016
82,47,26,9,103,63,3,2,1,20,45,47,229,81,30,30,1,0,1,1,1,1,4999,2516,2483,50,9,1,8,Montréal Canadiens,/api/v1/teams/8,20162017
82,29,40,13,71,43,3,3,1,21,52,68,245,74,33,32,0,0,1,1,0,0,5037,2395,2642,48,8,1,8,Montréal Canadiens,/api/v1/teams/8,20172018
82,44,30,8,96,59,3,3,1,13,31,46,234,81,34,31,1,0,1,1,1,0,4932,2437,2495,49,9,1,8,Montréal Canadiens,/api/v1/teams/8,20182019
71,31,31,9,71,50,3,3,1,18,33,45,186,79,34,31,1,0,1,1,0,0,4249,2143,2106,50,9,1,8,Montréal Canadiens,/api/v1/teams/8,20192020
82,38,35,9,85,52,3,3,1,16,38,61,240,76,28,33,1,0,1,1,0,1,4983,2519,2464,51,10,1,9,Ottawa Senators,/api/v1/teams/9,20152016
82,44,28,10,98,60,3,3,1,17,43,50,253,80,30,30,1,0,1,1,0,1,5001,2549,2452,51,8,1,9,Ottawa Senators,/api/v1/teams/9,20162017
82,28,43,11,67,41,3,3,1,17,41,56,247,76,31,33,1,0,1,1,0,0,4969,2499,2470,50,9,1,9,Ottawa Senators,/api/v1/teams/9,20172018
82,29,47,6,64,39,3,4,1,20,46,45,226,79,30,36,1,0,1,1,0,0,4815,2387,2428,50,10,1,9,Ottawa Senators,/api/v1/teams/9,20182019
71,25,34,12,62,44,3,3,1,14,30,55,211,76,31,34,1,0,1,1,0,0,4242,2132,2110,50,9,1,9,Ottawa Senators,/api/v1/teams/9,20192020
82,29,42,11,69,42,2,3,1,15,40,50,259,82,31,31,1,0,1,1,0,0,5173,2617,2556,51,8,1,10,Toronto Maple Leafs,/api/v1/teams/10,20152016
82,40,27,15,95,58,3,3,1,24,58,44,244,83,32,33,1,0,1,1,0,1,5061,2524,2537,50,10,1,10,Toronto Maple Leafs,/api/v1/teams/10,20162017
82,49,26,7,105,64,3,3,1,25,56,43,224,81,32,34,1,0,1,1,1,1,5187,2688,2499,52,10,1,10,Toronto Maple Leafs,/api/v1/teams/10,20172018
82,46,28,8,100,61,3,3,1,22,46,41,211,80,33,33,1,0,1,1,1,1,4959,2629,2330,53,11,1,10,Toronto Maple Leafs,/api/v1/teams/10,20182019
70,36,25,9,81,58,3,3,1,23,45,43,195,78,33,32,1,0,1,1,1,0,3924,2060,1864,53,10,1,10,Toronto Maple Leafs,/api/v1/teams/10,20192020
82,35,31,16,86,52,2,3,1,17,40,32,238,84,30,28,1,0,1,1,0,1,4701,2523,2178,54,8,1,12,Carolina Hurricanes,/api/v1/teams/12,20152016
82,36,31,15,87,53,3,3,1,18,41,32,231,84,30,28,1,0,1,1,0,1,4581,2431,2150,53,9,1,12,Carolina Hurricanes,/api/v1/teams/12,20162017
82,36,35,11,83,51,3,3,1,18,44,43,239,78,34,29,1,0,1,1,1,0,4798,2594,2204,54,8,1,12,Carolina Hurricanes,/api/v1/teams/12,20172018
82,46,29,7,99,60,3,3,1,18,44,44,247,82,34,29,1,0,1,1,1,1,4968,2436,2532,49,9,1,12,Carolina Hurricanes,/api/v1/teams/12,20182019
68,38,25,5,81,60,3,3,1,22,46,39,206,84,33,29,1,0,1,1,0,1,4072,2058,2014,51,10,1,12,Carolina Hurricanes,/api/v1/teams/12,20192020
82,47,26,9,103,63,3,2,1,17,47,55,278,80,29,30,1,0,1,1,1,1,5088,2548,2540,50,10,1,13,Florida Panthers,/api/v1/teams/13,20152016
82,35,36,11,81,49,3,3,1,17,45,36,265,85,32,32,1,0,1,1,0,0,4974,2384,2590,48,8,1,13,Florida Panthers,/api/v1/teams/13,20162017
82,44,30,8,96,59,3,3,1,19,47,45,249,80,34,35,1,0,1,1,0,1,5236,2657,2579,51,9,1,13,Florida Panthers,/api/v1/teams/13,20172018
82,36,32,14,86,52,3,3,1,27,72,43,269,81,33,31,1,0,0,1,0,0,5072,2527,2545,50,10,1,13,Florida Panthers,/api/v1/teams/13,20182019
69,35,26,8,78,57,3,3,1,21,45,40,211,79,33,32,1,0,1,1,0,1,4005,2014,1991,50,10,1,13,Florida Panthers,/api/v1/teams/13,20192020
