gameid,season,homeOrAway,teamSkaterStatsgoals,teamSkaterStatspim,teamSkaterStatsshots,teamSkaterStatspowerPlayPercentage,teamSkaterStatspowerPlayGoals,teamSkaterStatspowerPlayOpportunities,teamSkaterStatsfaceOffWinPercentage,teamSkaterStatsblocked,teamSkaterStatstakeaways,teamSkaterStatsgiveaways,teamSkaterStatshits,teamid
1,2015,A,3,8,29,0,0,1,47,15,6,9,26,8
1,2016,A,4,11,38,0,0,4,52,9,8,6,21,10
1,2017,A,7,16,31,50,2,4,56,24,1,10,16,10
1,2018,A,2,6,36,25,1,4,41,16,5,10,34,8
1,2019,A,3,10,26,0,0,3,58,17,7,8,44,9
1,2015,H,1,4,37,33,1,3,53,9,7,4,26,10
1,2016,H,5,15,30,0,0,2,49,25,6,11,30,9
1,2017,H,2,8,37,0,0,8,44,14,5,7,18,52
1,2018,H,3,8,26,33,1,3,59,24,5,21,18,10
1,2019,H,5,6,42,20,1,5,43,9,13,12,17,10
2,2015,A,3,4,27,0,0,0,47,15,10,13,43,3
2,2016,A,5,8,34,60,3,5,60,15,6,13,27,19
2,2017,A,5,10,34,25,1,4,41,19,3,5,36,19
2,2018,A,0,32,25,0,0,2,68,12,5,3,28,6
2,2019,A,3,4,34,33,1,3,49,6,8,5,25,15
2,2015,H,2,2,34,0,0,1,53,3,3,11,25,16
2,2016,H,2,10,19,25,1,4,40,8,10,11,22,16
2,2017,H,4,8,33,20,1,5,59,10,4,13,27,5
2,2018,H,7,14,37,67,4,6,32,15,13,10,16,15
2,2019,H,2,6,22,50,1,2,51,12,9,11,23,19
3,2015,A,5,36,44,0,0,3,48,13,5,4,16,23
3,2016,A,4,19,41,33,1,3,60,13,5,12,24,20
3,2017,A,0,9,27,0,0,1,46,17,11,18,29,20
3,2018,A,2,7,35,0,0,7,58,6,1,6,17,20
3,2019,A,2,4,33,0,0,4,51,17,6,11,21,23
3,2015,H,1,38,30,0,0,2,52,10,11,4,28,20
3,2016,H,7,13,28,17,1,6,40,10,8,12,25,22
3,2017,H,3,7,45,0,0,2,54,18,18,16,31,22
3,2018,H,5,19,23,0,0,1,42,18,7,9,16,23
3,2019,H,3,8,22,0,0,2,49,18,12,17,24,22
4,2015,A,5,24,32,25,2,8,49,13,1,2,19,28
4,2016,A,1,8,22,100,1,1,50,22,7,14,41,26
4,2017,A,5,12,31,60,3,5,52,17,5,9,21,4
4,2018,A,5,6,15,67,2,3,48,16,9,6,25,24
4,2019,A,1,8,22,0,0,5,47,12,8,8,40,28
4,2015,H,1,36,20,0,0,6,51,10,2,7,33,26
4,2016,H,2,4,31,33,1,3,50,21,15,19,24,28
4,2017,H,3,10,35,33,2,6,48,17,11,20,14,28
4,2018,H,2,6,33,0,0,3,52,13,10,8,21,28
4,2019,H,4,10,35,25,1,4,53,12,15,18,32,54
5,2015,A,6,6,32,0,0,0,51,13,7,8,32,52
5,2016,A,4,22,24,0,0,2,39,12,6,8,14,8
5,2017,A,3,15,29,29,2,7,43,10,10,12,25,18
5,2018,A,4,6,26,100,1,1,43,13,1,6,13,6
5,2019,A,2,6,37,0,0,4,39,15,6,8,14,13
5,2015,H,2,2,31,0,0,2,49,9,4,11,31,6
5,2016,H,1,6,31,20,1,5,62,8,3,8,28,7
5,2017,H,4,19,32,20,1,5,57,7,13,7,23,6
5,2018,H,0,4,32,0,0,2,57,8,1,19,25,7
5,2019,H,5,8,30,33,1,3,61,15,7,6,17,14
6,2015,A,3,6,22,0,0,0,58,13,4,3,22,9
6,2016,A,3,10,28,0,0,3,48,19,4,9,31,2
6,2017,A,2,10,40,0,0,4,51,8,3,7,17,8
6,2018,A,3,6,33,0,0,1,53,11,16,9,21,18
6,2019,A,4,4,47,20,1,5,53,10,5,11,31,52
6,2015,H,1,0,27,33,1,3,42,10,6,8,11,7
6,2016,H,5,6,39,20,1,5,52,16,11,14,24,3
6,2017,H,2,8,45,20,1,5,49,15,5,5,20,7
6,2018,H,2,6,36,0,0,1,48,20,10,10,24,3
6,2019,H,6,10,32,50,1,2,47,18,13,24,24,3
7,2015,A,2,6,25,33,1,3,51,6,6,8,26,4
7,2016,A,2,9,41,0,0,3,59,15,4,5,21,15
7,2017,A,4,16,26,20,1,5,36,15,6,7,21,21
7,2018,A,6,12,36,0,0,2,47,18,5,6,32,15
7,2019,A,3,10,41,50,1,2,51,19,4,6,35,7
