,index,fullName,player_id,game_id,season,goals_10,assists_10,shots_10,hits_10,blocks_10,es_toi_10,pp_toi_10,pp_goals_10,pp_assists_10,takeaways_10,giveaways_10,plus_minus_10,sh_goals_10,sh_assists_10,primaryPositionname
0,160,Will Butcher,8477355,196,2019,0.1,0.3,0.9,0.7,1.3,1043.8,45.1,0.0,0.0,0.0,0.1,-0.1,0.0,0.0,Defenseman
1,209,Oskar Lindblom,8478067,196,2019,0.5,0.2,2.0,1.2,0.2,779.5,140.6,0.1,0.1,0.5,0.4,-0.6,0.0,0.0,Left Wing
2,44,James van Riemsdyk,8474037,196,2019,0.3,0.3,4.4,0.5,0.2,828.5,180.9,0.1,0.0,0.2,0.5,0.2,0.0,0.0,Left Wing
3,202,Travis Sanheim,8477948,196,2019,0.0,0.4,1.6,0.5,0.5,1094.0,30.5,0.0,0.0,0.1,0.8,-0.2,0.0,0.0,Defenseman
4,26,Andy Greene,8472382,196,2019,0.1,0.2,1.0,0.6,2.3,948.9,9.6,0.0,0.0,0.6,0.8,0.1,0.0,0.0,Defenseman
5,55,Wayne Simmonds,8474190,196,2019,0.0,0.4,3.4,2.3,0.4,711.9,237.4,0.0,0.1,0.6,0.1,-0.2,0.0,0.0,Right Wing
6,148,Shayne Gostisbehere,8476906,196,2019,0.1,0.3,2.3,0.3,0.7,930.1,190.2,0.0,0.2,0.1,0.9,-0.2,0.0,0.0,Defenseman
7,128,Sean Couturier,8476461,196,2019,0.2,0.4,2.9,0.8,0.4,834.2,170.2,0.0,0.2,1.0,1.1,-0.5,0.0,0.0,Center
8,52,Jakub Voracek,8474161,196,2019,0.4,0.5,2.1,0.1,0.3,776.9,196.6,0.2,0.1,0.2,1.0,0.1,0.0,0.0,Right Wing
9,33,Claude Giroux,8473512,196,2019,0.2,0.5,3.6,0.9,0.4,894.1,198.4,0.0,0.3,0.5,0.5,0.5,0.0,0.0,Center
10,151,Damon Severson,8476923,196,2019,0.1,0.1,0.8,1.0,0.9,1044.7,45.2,0.0,0.0,0.3,0.4,-0.8,0.0,0.0,Defenseman
11,46,P.K. Subban,8474056,196,2019,0.1,0.3,2.4,1.1,0.7,1122.2,178.3,0.0,0.0,0.4,1.3,-0.3,0.0,0.0,Defenseman
12,165,Miles Wood,8477425,196,2019,0.1,0.1,2.0,1.7,0.1,705.3,31.4,0.0,0.0,0.1,0.3,-0.6,0.0,0.0,Left Wing
13,159,Michael Raffl,8477290,196,2019,0.2,0.2,1.3,1.2,0.6,633.6,9.1,0.0,0.0,0.5,0.6,-0.3,0.0,0.0,Left Wing
14,162,John Hayden,8477401,196,2019,0.0,0.0,0.9,1.5,0.3,571.9,1.4,0.0,0.0,0.3,0.1,0.0,0.0,0.0,Center
15,31,Chris Stewart,8473485,196,2019,0.1,0.2,0.8,2.6,0.2,549.7,4.4,0.0,0.0,0.3,0.1,-0.3,0.0,0.0,Right Wing
16,214,Pavel Zacha,8478401,196,2019,0.3,0.5,1.9,0.9,0.3,741.8,92.4,0.0,0.1,0.4,0.1,0.0,0.0,0.0,Center
17,21,Matt Niskanen,8471702,196,2019,0.2,0.3,1.9,1.5,1.2,995.9,129.8,0.1,0.3,0.6,0.7,0.1,0.0,0.0,Defenseman
18,16,Travis Zajac,8471233,196,2019,0.1,0.3,0.5,0.4,0.5,784.3,85.1,0.0,0.0,0.6,0.2,0.1,0.0,0.0,Center
19,85,Sami Vatanen,8475222,196,2019,0.3,0.3,1.6,1.2,1.8,1004.6,164.2,0.0,0.2,0.2,0.4,0.1,0.0,0.0,Defenseman
20,244,Nico Hischier,8480002,196,2019,0.0,0.5,1.8,0.6,0.3,803.2,139.7,0.0,0.0,0.6,0.3,-0.4,0.0,0.0,Center
21,76,Kyle Palmieri,8475151,196,2019,0.6,0.1,3.0,1.5,0.4,799.5,220.1,0.2,0.0,0.6,0.3,0.1,0.0,0.0,Right Wing
22,239,Jesper Bratt,8479407,196,2019,0.3,0.2,1.0,0.1,0.3,588.4,126.1,0.0,0.0,0.4,0.4,0.0,0.0,0.0,Left Wing
23,101,Kevin Hayes,8475763,196,2019,0.4,0.3,3.1,1.3,0.2,870.9,109.9,0.1,0.0,0.7,0.4,-0.3,0.1,0.0,Center
24,228,Ivan Provorov,8478500,196,2019,0.2,0.4,1.6,0.9,1.2,1117.4,163.5,0.1,0.2,0.1,0.9,0.1,0.0,0.0,Defenseman
25,233,Kevin Rooney,8479291,196,2019,0.0,0.1,1.2,0.8,0.5,632.9,2.2,0.0,0.0,0.4,0.2,0.1,0.0,0.0,Center
26,106,Taylor Hall,8475791,196,2019,0.1,0.8,3.7,0.9,0.3,924.7,242.1,0.0,0.3,0.3,0.9,-0.2,0.0,0.0,Left Wing
27,118,Blake Coleman,8476399,196,2019,0.3,0.1,2.1,2.8,0.7,768.6,2.4,0.0,0.0,0.7,0.2,0.0,0.0,0.0,Center
28,220,Travis Konecny,8478439,196,2019,0.4,0.6,1.9,0.9,0.3,833.1,174.2,0.2,0.3,0.4,0.8,-0.6,0.0,0.0,Right Wing
29,42,Justin Braun,8474027,196,2019,0.0,0.3,1.3,0.9,1.1,916.3,5.2,0.0,0.0,0.4,0.6,-0.6,0.0,0.0,Defenseman
30,121,Scott Mayfield,8476429,197,2019,0.1,0.1,2.0,1.2,1.5,989.4,2.0,0.0,0.0,0.2,1.2,-0.2,0.0,0.0,Defenseman
31,135,Yanni Gourde,8476826,197,2019,0.1,0.2,1.6,0.8,0.5,785.1,61.8,0.0,0.1,0.6,0.2,0.0,0.0,0.0,Center
32,51,Ryan McDonagh,8474151,197,2019,0.0,0.4,0.9,1.1,1.9,1103.8,7.7,0.0,0.0,0.8,0.7,-0.2,0.0,0.0,Defenseman
