level_0,fullName,player_id,game_id,season,saves_10,goals_against_10,save_percent_10,shots_against_10,wins_10,shutouts_10,ot_loss_10,es_shots_10,es_save_percent_10,pp_shots_10,pp_save_percent_10,sh_shots_10,sh_save_percent_10
0,Mackenzie Blackwood,8478406,196,2019,24.0,2.7,88.5953690127077,26.7,0.5,0.1,0.1,21.3,89.94633734719942,4.4,84.58333333333333,1.0,80.0
1,Carter Hart,8479394,196,2019,18.7,2.8,85.03067076292885,21.5,0.2,0.1,0.1,18.7,85.55390802767114,2.1,70.0,0.7,100.0
2,Thomas Greiss,8471306,197,2019,27.0,2.2,91.71920997800156,29.2,0.6,0.0,0.0,25.5,93.24213002154181,2.9,75.47619047619048,0.8,100.0
3,Andrei Vasilevskiy,8476883,197,2019,29.5,2.7,90.94333650502945,32.2,0.7,0.0,0.0,27.2,93.27103087518931,4.4,80.63492063492063,0.6,83.33333333333333
4,Linus Ullmark,8476999,198,2019,30.4,2.9,90.97728312060651,33.3,0.4,0.1,0.2,27.3,92.79635103645398,5.1,79.92063492063492,0.9,100.0
5,Braden Holtby,8474651,198,2019,26.2,3.3,80.68108292386731,29.5,0.5,0.0,0.2,23.1,80.67391369579903,5.1,85.92111592111593,1.3,100.0
6,Jonathan Bernier,8473541,199,2019,28.2,2.8,89.91578289238682,31.0,0.5,0.1,0.1,24.8,90.45177432216906,5.1,90.23809523809523,1.1,93.33333333333331
7,Petr Mrazek,8475852,199,2019,24.6,1.9,90.40733259931491,26.5,0.8,0.2,0.1,22.4,92.5650659824047,3.6,76.66666666666667,0.5,83.33333333333333
8,Jimmy Howard,8470657,199,2019,32.4,3.2,90.71929162893028,35.6,0.3,0.0,0.0,29.7,91.95147017678987,5.6,71.51709401709401,0.3,100.0
9,Elvis Merzlikins,8478007,200,2019,26.143478260869568,1.834782608695652,92.46194030660384,27.978260869565222,0.5173913043478262,0.21304347826086953,0.12173913043478261,25.321739130434786,92.8618193177953,2.3260869565217392,87.11255710013472,0.33043478260869563,100.0
10,Jordan Binnington,8476412,200,2019,28.4,2.5,92.00930984784279,30.9,0.6,0.0,0.2,25.4,92.46847977291523,4.2,91.90476190476191,1.3,87.5
11,Philipp Grubauer,8475831,201,2019,30.8,2.7,91.89014040341944,33.5,0.7,0.0,0.2,28.9,93.08016751766752,3.8,89.16666666666666,0.8,91.66666666666666
12,Anton Khudobin,8471418,201,2019,25.1,2.5,91.05745839391474,27.6,0.5,0.0,0.1,22.2,91.74035206055666,5.0,85.1388888888889,0.4,100.0
13,John Gibson,8476434,202,2019,29.1,2.7,90.84526380110563,31.8,0.4,0.0,0.0,25.8,92.43776185500325,5.3,80.15873015873018,0.7,83.33333333333333
14,Jacob Markstrom,8474593,202,2019,29.5,2.6,91.31959850494336,32.1,0.6,0.0,0.1,26.2,91.79308714671295,5.0,92.5925925925926,0.9,91.66666666666669
15,Martin Jones,8474889,203,2019,26.0,3.2,88.47647382653678,29.2,0.2,0.0,0.1,21.6,87.03366241601533,6.4,93.53940406571985,1.2,86.11111111111109
16,Connor Hellebuyck,8476945,203,2019,29.1,2.5,91.29480696641085,31.6,0.5,0.1,0.0,26.6,92.83311938230801,4.1,75.83333333333334,0.9,93.33333333333331
