,fullName,player_id,1_game,2_game,3_game,4_game,5_game
0,Joe Thornton,8466138,3,4.5,5.8,9.3,4.5
1,Patrick Marleau,8466139,0,3,1.3,9.3,10
2,Valtteri Filppula,8470047,6.5,12.8,6,2.8,3
3,Trevor Daley,8470110,5.8,4.5,8.4,4.3,5.8
4,Frans Nielsen,8470144,4.1,3,1.5,4.5,2.8
5,Jay Bouwmeester,8470151,2.8,8.9,5.4,4.3,1.3
6,Johnny Boychuk,8470187,16.4,12.1,12.1,8.4,14
7,Alexander Steen,8470257,4.3,7.6,3,8,4.1
8,Ryan Getzlaf,8470612,20.8,12.8,16.7,10.5,14.3
9,Brent Burns,8470613,15.6,13.9,9.1,9.3,7.1
10,Corey Perry,8470621,0,4.1,7.3,1.5,20
11,Loui Eriksson,8470626,0,1.5,1.5,4.3,0
12,Joe Pavelski,8470794,25.8,3,1.5,11.5,0
13,Alex Ovechkin,8471214,42,1.5,30.5,21,17.3
14,Blake Wheeler,8471218,15.8,7.5,7.3,3,8.6
15,Alexander Radulov,8471228,46.8,4.5,1.3,9,1.3
16,Travis Zajac,8471233,1.3,1.5,2.6,6.5,5
17,Mike Green,8471242,3,8,3,4.3,3.9
18,Alexander Edler,8471303,9.7,19.1,11,9.7,8.6
19,T.J. Oshie,8471698,7.8,0,5.4,6.3,15.2
20,Andrew Cogliano,8471699,0,1.5,9.3,1.3,1.5
21,Matt Niskanen,8471702,1.3,6,9.3,6.7,16
22,Marc-Edouard Vlasic,8471709,1.3,2.8,4.3,5.6,11.5
23,Justin Abdelkader,8471716,6.3,0,1.3,2.8,5.6
24,Vladimir Sobotka,8471743,5,0,14.5,1.3,4.3
25,Darren Helm,8471794,2.8,8,0,11.5,3
26,Andy Greene,8472382,18.4,7.1,9.5,9.7,7.1
27,Bryan Little,8473412,21,11.5,5,5.6,7.8
28,Nick Foligno,8473422,4.1,1.3,2.8,16.3,1.5
29,Erik Johnson,8473446,8.4,6,5.8,4.3,8.4
30,Kyle Okposo,8473449,0,3,8,1.5,6.5
31,Chris Stewart,8473485,0,3,1.3,0,5
32,Cal Clutterbuck,8473504,12.1,10.6,4.5,8.2,3
33,Claude Giroux,8473512,12,18.8,14,14.3,10.3
34,Jordan Staal,8473533,1.3,14.3,0,3,4.3
35,Derick Brassard,8473544,13,13,11.3,2.8,2.8
36,Korbinian Holzer,8473560,4.1,2.6,8.2,8,1.3
37,Nicklas Backstrom,8473563,19.1,2.8,1.5,9.5,6.9
38,Mathieu Perreault,8473618,3,7.5,7.3,4.5,6
39,Alex Killorn,8473986,13,7.5,3,20.5,9.5
40,Jamie Benn,8473994,9.3,4.3,8.6,9.5,8
41,Ian Cole,8474013,10.6,3.9,12.1,2.6,6.3
42,Justin Braun,8474027,1.5,7.8,8.8,6.7,2.6
43,Kevin Shattenkirk,8474031,17.1,7.3,3,13.3,14.5
44,James van Riemsdyk,8474037,4.5,11,25,17.8,5.8
45,Logan Couture,8474053,6,16.6,5.8,12.3,3
46,P.K. Subban,8474056,3,9.3,5.4,22,6.5
47,Riley Nash,8474062,1.3,0,5,17.4,1.5
48,Brandon Sutter,8474091,10.3,12.6,3,1.5,4.5
49,David Perron,8474102,15.5,27.8,3,8,11.5
50,Carl Gunnarsson,8474125,9.1,1.5,0,8.4,2.8
51,Ryan McDonagh,8474151,7.6,2.8,2.6,9.5,7.8
52,Jakub Voracek,8474161,6,21,24.5,3,11
53,Carl Hagelin,8474176,0,8,1.5,1.5,18
54,Lars Eller,8474189,4.3,18.5,0,13.6,16.5
