Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Jordan Binnington (13678944),Jordan Binnington,13678944,G,8400,CLS@STL 11/01/2019 08:00PM ET,STL,15.68
G,Jake Allen (13678960),Jake Allen,13678960,G,8200,CLS@STL 11/01/2019 08:00PM ET,STL,4.75
G,Philipp Grubauer (13678945),Philipp Grubauer,13678945,G,8200,DAL@COL 11/01/2019 09:00PM ET,COL,16.7
LW,Alex Ovechkin (13678140),Alex Ovechkin,13678140,W/UTIL,8100,BUF@WAS 11/01/2019 07:00PM ET,WAS,19.41
G,Braden Holtby (13678946),Braden Holtby,13678946,G,8100,BUF@WAS 11/01/2019 07:00PM ET,WAS,10.99
G,Petr Mrazek (13678947),Petr Mrazek,13678947,G,8000,DET@CAR 11/01/2019 07:30PM ET,CAR,14.68
C,Nathan MacKinnon (13677890),Nathan MacKinnon,13677890,C/UTIL,8000,DAL@COL 11/01/2019 09:00PM ET,COL,16.45
G,Pavel Francouz (13678961),Pavel Francouz,13678961,G,8000,DAL@COL 11/01/2019 09:00PM ET,COL,19
G,Ilya Samsonov (13678962),Ilya Samsonov,13678962,G,7900,BUF@WAS 11/01/2019 07:00PM ET,WAS,14.04
G,Andrei Vasilevskiy (13678949),Andrei Vasilevskiy,13678949,G,7900,TB@NYI 11/01/2019 07:00PM ET,TB,15.72
G,James Reimer (13678963),James Reimer,13678963,G,7800,DET@CAR 11/01/2019 07:30PM ET,CAR,13.5
G,Martin Jones (13678948),Martin Jones,13678948,G,7800,WPG@SJ 11/01/2019 10:30PM ET,SJ,9
G,John Gibson (13678950),John Gibson,13678950,G,7700,VAN@ANH 11/01/2019 10:00PM ET,ANH,15.19
G,Curtis McElhinney (13678966),Curtis McElhinney,13678966,G,7700,TB@NYI 11/01/2019 07:00PM ET,TB,15.78
G,Carter Hart (13678951),Carter Hart,13678951,G,7600,PHI@NJ 11/01/2019 07:00PM ET,PHI,4.97
G,Aaron Dell (13678964),Aaron Dell,13678964,G,7600,WPG@SJ 11/01/2019 10:30PM ET,SJ,9.16
G,Semyon Varlamov (13678952),Semyon Varlamov,13678952,G,7600,TB@NYI 11/01/2019 07:00PM ET,NYI,14.65
G,Thomas Greiss (13678965),Thomas Greiss,13678965,G,7600,TB@NYI 11/01/2019 07:00PM ET,NYI,16.9
C,Jack Eichel (13677892),Jack Eichel,13677892,C/UTIL,7500,BUF@WAS 11/01/2019 07:00PM ET,BUF,16.22
RW,Brock Boeser (13678142),Brock Boeser,13678142,W/UTIL,7500,VAN@ANH 11/01/2019 10:00PM ET,VAN,14.12
G,Jacob Markstrom (13678953),Jacob Markstrom,13678953,G,7500,VAN@ANH 11/01/2019 10:00PM ET,VAN,15.42
G,Thatcher Demko (13678967),Thatcher Demko,13678967,G,7500,VAN@ANH 11/01/2019 10:00PM ET,VAN,17.98
G,Ryan Miller (13678968),Ryan Miller,13678968,G,7500,VAN@ANH 11/01/2019 10:00PM ET,ANH,16.48
LW,Taylor Hall (13678144),Taylor Hall,13678144,W/UTIL,7400,PHI@NJ 11/01/2019 07:00PM ET,NJ,11.69
G,MacKenzie Blackwood (13678954),MacKenzie Blackwood,13678954,G,7400,PHI@NJ 11/01/2019 07:00PM ET,NJ,6.95
G,Cory Schneider (13678969),Cory Schneider,13678969,G,7400,PHI@NJ 11/01/2019 07:00PM ET,NJ,2.08
G,Brian Elliott (13678970),Brian Elliott,13678970,G,7400,PHI@NJ 11/01/2019 07:00PM ET,PHI,10.5
D,John Carlson (13678584),John Carlson,13678584,D/UTIL,7300,BUF@WAS 11/01/2019 07:00PM ET,WAS,18.34
G,Carter Hutton (13678956),Carter Hutton,13678956,G,7300,BUF@WAS 11/01/2019 07:00PM ET,BUF,18.4
RW,Mikko Rantanen (13678146),Mikko Rantanen,13678146,W/UTIL,7300,DAL@COL 11/01/2019 09:00PM ET,COL,14
G,Connor Hellebuyck (13678955),Connor Hellebuyck,13678955,G,7300,WPG@SJ 11/01/2019 10:30PM ET,WPG,15.92
LW,Jeff Skinner (13678148),Jeff Skinner,13678148,W/UTIL,7200,BUF@WAS 11/01/2019 07:00PM ET,BUF,13.52
G,Ben Bishop (13678957),Ben Bishop,13678957,G,7200,DAL@COL 11/01/2019 09:00PM ET,DAL,11.75
C,Elias Pettersson (13677894),Elias Pettersson,13677894,C/UTIL,7200,VAN@ANH 11/01/2019 10:00PM ET,VAN,13.83
G,Linus Ullmark (13678972),Linus Ullmark,13678972,G,7100,BUF@WAS 11/01/2019 07:00PM ET,BUF,22.28
LW,J.T. Miller (13678150),J.T. Miller,13678150,W/UTIL,7100,VAN@ANH 11/01/2019 10:00PM ET,VAN,12.98
G,Laurent Brossoit (13678971),Laurent Brossoit,13678971,G,7100,WPG@SJ 11/01/2019 10:30PM ET,WPG,4.35
G,Jimmy Howard (13678958),Jimmy Howard,13678958,G,7000,DET@CAR 11/01/2019 07:30PM ET,DET,14.2
G,Anton Khudobin (13678973),Anton Khudobin,13678973,G,7000,DAL@COL 11/01/2019 09:00PM ET,DAL,10.26
C,Steven Stamkos (13677896),Steven Stamkos,13677896,C/UTIL,7000,TB@NYI 11/01/2019 07:00PM ET,TB,12.36
RW,Nikita Kucherov (13678152),Nikita Kucherov,13678152,W/UTIL,7000,TB@NYI 11/01/2019 07:00PM ET,TB,10.93
G,Joonas Korpisalo (13678959),Joonas Korpisalo,13678959,G,6900,CLS@STL 11/01/2019 08:00PM ET,CLS,9.66
LW,Gabriel Landeskog (13678154),Gabriel Landeskog,13678154,W/UTIL,6900,DAL@COL 11/01/2019 09:00PM ET,COL,8.94
G,Jonathan Bernier (13678974),Jonathan Bernier,13678974,G,6800,DET@CAR 11/01/2019 07:30PM ET,DET,9.48
C,Bo Horvat (13677898),Bo Horvat,13677898,C/UTIL,6800,VAN@ANH 11/01/2019 10:00PM ET,VAN,13.43
D,Alexander Edler (13678586),Alexander Edler,13678586,D/UTIL,6800,VAN@ANH 11/01/2019 10:00PM ET,VAN,14.34
LW,Evander Kane (13678156),Evander Kane,13678156,W/UTIL,6800,WPG@SJ 11/01/2019 10:30PM ET,SJ,15.92
G,Elvis Merzlikins (13678975),Elvis Merzlikins,13678975,G,6700,CLS@STL 11/01/2019 08:00PM ET,CLS,8.13
LW,Nikolaj Ehlers (13678158),Nikolaj Ehlers,13678158,W/UTIL,6700,WPG@SJ 11/01/2019 10:30PM ET,WPG,13.3
LW,James van Riemsdyk (13678160),James van Riemsdyk,13678160,W/UTIL,6600,PHI@NJ 11/01/2019 07:00PM ET,PHI,11.4
C,Tyler Seguin (13677900),Tyler Seguin,13677900,C/UTIL,6600,DAL@COL 11/01/2019 09:00PM ET,DAL,10.12
D,Brent Burns (13678588),Brent Burns,13678588,D/UTIL,6600,WPG@SJ 11/01/2019 10:30PM ET,SJ,12.48
RW,Travis Konecny (13678164),Travis Konecny,13678164,W/UTIL,6500,PHI@NJ 11/01/2019 07:00PM ET,PHI,11.84
G,Evan Cormier (13678984),Evan Cormier,13678984,G,6500,PHI@NJ 11/01/2019 07:00PM ET,NJ,0
G,Alex Lyon (13678986),Alex Lyon,13678986,G,6500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
G,J-F Berube (13678987),J-F Berube,13678987,G,6500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
G,Pheonix Copley (13678983),Pheonix Copley,13678983,G,6500,BUF@WAS 11/01/2019 07:00PM ET,WAS,0
G,Andrew Hammond (13678997),Andrew Hammond,13678997,G,6500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
G,Jonas Johansson (13678998),Jonas Johansson,13678998,G,6500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
C,Dylan Larkin (13677902),Dylan Larkin,13677902,C/UTIL,6500,DET@CAR 11/01/2019 07:30PM ET,DET,11.96
G,Anton Forsberg (13678988),Anton Forsberg,13678988,G,6500,DET@CAR 11/01/2019 07:30PM ET,CAR,0
G,Callum Booth (13678989),Callum Booth,13678989,G,6500,DET@CAR 11/01/2019 07:30PM ET,CAR,0
G,Jeremy Helvig (13678990),Jeremy Helvig,13678990,G,6500,DET@CAR 11/01/2019 07:30PM ET,CAR,0
G,Alex Nedeljkovic (13678991),Alex Nedeljkovic,13678991,G,6500,DET@CAR 11/01/2019 07:30PM ET,CAR,0
G,Calvin Pickard (13678996),Calvin Pickard,13678996,G,6500,DET@CAR 11/01/2019 07:30PM ET,DET,0
G,Matiss Kivlenieks (13678978),Matiss Kivlenieks,13678978,G,6500,CLS@STL 11/01/2019 08:00PM ET,CLS,0
G,Veini Vehvilainen (13678979),Veini Vehvilainen,13678979,G,6500,CLS@STL 11/01/2019 08:00PM ET,CLS,0
G,Ville Husso (13678980),Ville Husso,13678980,G,6500,CLS@STL 11/01/2019 08:00PM ET,STL,0
G,Antoine Bibeau (13678976),Antoine Bibeau,13678976,G,6500,DAL@COL 11/01/2019 09:00PM ET,COL,0
G,Adam Werner (13678977),Adam Werner,13678977,G,6500,DAL@COL 11/01/2019 09:00PM ET,COL,0
G,Landon Bow (13678999),Landon Bow,13678999,G,6500,DAL@COL 11/01/2019 09:00PM ET,DAL,0
G,Michael DiPietro (13678981),Michael DiPietro,13678981,G,6500,VAN@ANH 11/01/2019 10:00PM ET,VAN,0
G,Zane McIntyre (13678982),Zane McIntyre,13678982,G,6500,VAN@ANH 11/01/2019 10:00PM ET,VAN,0
G,Kevin Boyle (13678985),Kevin Boyle,13678985,G,6500,VAN@ANH 11/01/2019 10:00PM ET,ANH,0
RW,Patrik Laine (13678162),Patrik Laine,13678162,W/UTIL,6500,WPG@SJ 11/01/2019 10:30PM ET,WPG,12.41
G,Mikhail Berdin (13678993),Mikhail Berdin,13678993,G,6500,WPG@SJ 11/01/2019 10:30PM ET,WPG,0
G,Christopher Gibson (13678992),Christopher Gibson,13678992,G,6500,TB@NYI 11/01/2019 07:00PM ET,NYI,0
G,Louis Domingue (13678994),Louis Domingue,13678994,G,6500,TB@NYI 11/01/2019 07:00PM ET,TB,0
G,Zach Fucale (13678995),Zach Fucale,13678995,G,6500,TB@NYI 11/01/2019 07:00PM ET,TB,0
RW,Vladimir Tarasenko (13678166),Vladimir Tarasenko,13678166,W/UTIL,6400,CLS@STL 11/01/2019 08:00PM ET,STL,11.76
D,Alex Pietrangelo (13678590),Alex Pietrangelo,13678590,D/UTIL,6400,CLS@STL 11/01/2019 08:00PM ET,STL,11.82
C,Brayden Point (13677904),Brayden Point,13677904,C/UTIL,6400,TB@NYI 11/01/2019 07:00PM ET,TB,12.38
C,Claude Giroux (13677906),Claude Giroux,13677906,C/UTIL,6300,PHI@NJ 11/01/2019 07:00PM ET,PHI,10.29
RW,Kyle Palmieri (13678168),Kyle Palmieri,13678168,W/UTIL,6300,PHI@NJ 11/01/2019 07:00PM ET,NJ,12.12
